league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
INT-World Cup,2018,Croatia,Ante Rebić,Croatia,MF,24,1993,6.0,1,16,6,37.5,2.65,0.99,0.06,0.17,0,0
INT-World Cup,2018,Croatia,Danijel Subašić,Croatia,GK,33,1984,7.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Croatia,Dejan Lovren,Croatia,DF,28,1989,7.2,0,6,0,0.0,0.83,0.0,0.0,,0,0
INT-World Cup,2018,Croatia,Domagoj Vida,Croatia,DF,29,1989,7.0,1,3,1,33.3,0.43,0.14,0.33,1.0,0,0
INT-World Cup,2018,Croatia,Duje Ćaleta-Car,Croatia,DF,21,1996,1.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Croatia,Filip Bradarić,Croatia,MF,26,1992,0.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Croatia,Ivan Perišić,Croatia,MF,29,1989,7.0,3,22,4,18.2,3.15,0.57,0.14,0.75,0,0
INT-World Cup,2018,Croatia,Ivan Rakitić,Croatia,MF,30,1988,7.1,1,15,4,26.7,2.11,0.56,0.07,0.25,0,0
INT-World Cup,2018,Croatia,Ivan Strinić,Croatia,DF,30,1987,5.6,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Croatia,Josip Pivarić,Croatia,DF,29,1989,2.3,0,2,0,0.0,0.89,0.0,0.0,,0,0
INT-World Cup,2018,Croatia,Lovre Kalinić,Croatia,GK,28,1990,1.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Croatia,Luka Modrić,Croatia,MF,32,1985,7.7,2,11,4,36.4,1.43,0.52,0.09,0.25,1,2
INT-World Cup,2018,Croatia,Marcelo Brozović,Croatia,MF,25,1992,5.1,0,4,1,25.0,0.78,0.2,0.0,0.0,0,0
INT-World Cup,2018,Croatia,Mario Mandžukić,Croatia,FW,32,1986,6.7,3,12,5,41.7,1.79,0.74,0.25,0.6,0,0
INT-World Cup,2018,Croatia,Marko Pjaca,Croatia,MF,23,1995,0.9,0,1,0,0.0,1.08,0.0,0.0,,0,0
INT-World Cup,2018,Croatia,Mateo Kovačić,Croatia,MF,24,1994,2.1,0,4,1,25.0,1.95,0.49,0.0,0.0,0,0
INT-World Cup,2018,Croatia,Milan Badelj,Croatia,MF,29,1989,1.2,1,2,1,50.0,1.7,0.85,0.5,1.0,0,0
INT-World Cup,2018,Croatia,Tin Jedvaj,Croatia,DF,22,1995,1.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Croatia,Vedran Ćorluka,Croatia,DF,32,1986,1.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Croatia,Šime Vrsaljko,Croatia,DF,26,1992,6.7,0,5,0,0.0,0.74,0.0,0.0,,0,0
INT-World Cup,2018,Denmark,Andreas Christensen,Denmark,"DF,MF",22,1996,3.4,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Andreas Cornelius,Denmark,FW,25,1993,1.8,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Christian Eriksen,Denmark,MF,26,1992,4.3,1,11,3,27.3,2.54,0.69,0.09,0.33,0,0
INT-World Cup,2018,Denmark,Henrik Dalsgaard,Denmark,DF,28,1989,4.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Jens Stryger Larsen,Denmark,DF,27,1991,3.0,0,2,1,50.0,0.67,0.33,0.0,0.0,0,0
INT-World Cup,2018,Denmark,Jonas Knudsen,Denmark,DF,25,1992,1.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Kasper Dolberg,Denmark,FW,20,1997,0.2,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Kasper Schmeichel,Denmark,GK,31,1986,4.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Lasse Schöne,Denmark,MF,32,1986,2.5,0,4,1,25.0,1.63,0.41,0.0,0.0,0,0
INT-World Cup,2018,Denmark,Lukas Lerager,Denmark,MF,24,1993,0.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Martin Braithwaite,Denmark,FW,27,1991,2.8,0,4,2,50.0,1.43,0.72,0.0,0.0,0,0
INT-World Cup,2018,Denmark,Mathias Jørgensen,Denmark,"MF,DF",28,1990,2.4,1,1,1,100.0,0.41,0.41,1.0,1.0,0,0
INT-World Cup,2018,Denmark,Michael Krohn-Dehli,Denmark,"FW,MF",35,1983,0.3,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Nicolai Jørgensen,Denmark,FW,27,1991,2.4,0,4,1,25.0,1.7,0.42,0.0,0.0,0,0
INT-World Cup,2018,Denmark,Pione Sisto,Denmark,"MF,FW",23,1995,2.6,0,4,1,25.0,1.57,0.39,0.0,0.0,0,0
INT-World Cup,2018,Denmark,Simon Kjær,Denmark,DF,29,1989,4.3,0,1,0,0.0,0.23,0.0,0.0,,0,0
INT-World Cup,2018,Denmark,Thomas Delaney,Denmark,MF,26,1991,4.1,0,4,0,0.0,0.98,0.0,0.0,,0,0
INT-World Cup,2018,Denmark,Viktor Fischer,Denmark,"FW,MF",24,1994,0.3,0,1,0,0.0,2.9,0.0,0.0,,0,0
INT-World Cup,2018,Denmark,William Kvist,Denmark,MF,33,1985,0.4,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Denmark,Yussuf Poulsen,Denmark,"MF,FW",23,1994,3.0,1,2,1,50.0,0.67,0.34,0.5,1.0,0,0
INT-World Cup,2018,Egypt,Abdallah Said,Egypt,MF,32,1985,2.5,0,2,0,0.0,0.8,0.0,0.0,,0,0
INT-World Cup,2018,Egypt,Ahmed Fathy,Egypt,DF,33,1984,3.0,0,1,1,100.0,0.33,0.33,0.0,0.0,0,0
INT-World Cup,2018,Egypt,Ahmed Hegazi,Egypt,DF,27,1991,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Egypt,Ali Gabr,Egypt,DF,29,1989,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0
INT-World Cup,2018,Egypt,Amr Warda,Egypt,MF,24,1993,1.7,0,2,0,0.0,1.17,0.0,0.0,,0,0
INT-World Cup,2018,Egypt,Essam El-Hadary,Egypt,GK,45,1973,1.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Egypt,Kahraba,Egypt,"FW,MF",24,1994,0.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Egypt,Marwan Mohsen,Egypt,FW,29,1989,2.3,0,3,1,33.3,1.31,0.44,0.0,0.0,0,0
INT-World Cup,2018,Egypt,Mohamed Abdel-Shafy,Egypt,DF,32,1985,3.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Egypt,Mohamed El-Shenawy,Egypt,GK,29,1988,2.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Egypt,Mohamed Elneny,Egypt,MF,25,1992,2.7,0,3,0,0.0,1.11,0.0,0.0,,0,0
INT-World Cup,2018,Egypt,Mohamed Salah,Egypt,"MF,FW",25,1992,2.0,2,6,2,33.3,3.0,1.0,0.17,0.5,1,1
INT-World Cup,2018,Egypt,Ramadan Sobhi,Egypt,MF,21,1997,0.7,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,Egypt,Sam Morsy,Egypt,MF,26,1991,0.5,0,0,0,,0.0,0.0,,,0,0
