league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Cameroon,Nouhou Tolo,Cameroon,DF,24,1997,3.0,1,0,0,3,1,0,7,6,6,,,0
INT-World Cup,2022,Cameroon,Olivier Ntcham,Cameroon,MF,26,1996,0.3,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Cameroon,Pierre Kunde,Cameroon,MF,26,1995,1.5,1,0,0,3,1,0,4,4,2,,,0
INT-World Cup,2022,Cameroon,Samuel Oum Gouet,Cameroon,MF,24,1997,1.1,0,0,0,0,1,0,1,0,1,,,0
INT-World Cup,2022,Cameroon,Vincent Aboubakar,Cameroon,FW,30,1992,1.6,2,1,1,3,2,0,0,0,0,,,0
INT-World Cup,2022,Canada,Alistair Johnston,Canada,DF,23,1998,3.0,1,0,0,5,3,0,8,2,3,,,0
INT-World Cup,2022,Canada,Alphonso Davies,Canada,"MF,FW",21,2000,3.0,1,0,0,4,4,1,11,3,1,,,0
INT-World Cup,2022,Canada,Atiba Hutchinson,Canada,MF,39,1983,1.8,0,0,0,2,2,0,0,1,1,,,0
INT-World Cup,2022,Canada,Cyle Larin,Canada,FW,27,1995,1.5,0,0,0,2,0,2,3,0,0,,,0
INT-World Cup,2022,Canada,David Wotherspoon,Canada,MF,32,1990,0.2,0,0,0,0,1,0,1,0,0,,,0
INT-World Cup,2022,Canada,Ismaël Koné,Canada,MF,19,2002,1.2,0,0,0,0,1,0,1,0,0,,,0
INT-World Cup,2022,Canada,Jonathan David,Canada,FW,22,2000,2.1,0,0,0,0,1,0,0,0,1,,,0
INT-World Cup,2022,Canada,Jonathan Osorio,Canada,MF,30,1992,1.3,1,0,0,1,2,0,0,1,1,,,0
INT-World Cup,2022,Canada,Junior Hoilett,Canada,MF,32,1990,1.8,1,0,0,1,5,1,13,1,4,,,0
INT-World Cup,2022,Canada,Kamal Miller,Canada,DF,25,1997,3.0,1,0,0,0,3,0,0,3,4,,,0
INT-World Cup,2022,Canada,Liam Millar,Canada,"FW,MF",22,1999,0.1,0,0,0,1,0,0,2,0,0,,,0
INT-World Cup,2022,Canada,Lucas Cavallini,Canada,FW,29,1992,0.2,0,0,0,1,0,0,1,0,0,,,0
INT-World Cup,2022,Canada,Mark-Anthony Kaye,Canada,MF,27,1994,0.7,0,0,0,1,1,0,0,0,1,,,0
INT-World Cup,2022,Canada,Milan Borjan,Canada,GK,34,1987,3.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Canada,Richie Laryea,Canada,"MF,DF",27,1995,1.8,0,0,0,1,2,2,1,0,1,,,0
INT-World Cup,2022,Canada,Sam Adekugbe,Canada,DF,27,1995,1.1,1,0,0,1,0,0,5,1,0,,,0
INT-World Cup,2022,Canada,Stephen Eustáquio,Canada,MF,25,1996,1.4,0,0,0,1,1,0,1,2,2,,,0
INT-World Cup,2022,Canada,Steven Vitória,Canada,DF,35,1987,3.0,1,0,0,6,5,0,0,0,4,,,0
INT-World Cup,2022,Canada,Tajon Buchanan,Canada,"MF,FW",23,1999,2.9,1,0,0,6,6,2,8,3,1,,,0
INT-World Cup,2022,Costa Rica,Anthony Contreras,Costa Rica,FW,22,2000,1.4,1,0,0,1,1,0,1,1,2,,,0
INT-World Cup,2022,Costa Rica,Brandon Aguilera,Costa Rica,MF,18,2003,1.0,0,0,0,2,2,1,1,1,0,,,0
INT-World Cup,2022,Costa Rica,Bryan Oviedo,Costa Rica,DF,32,1990,2.9,0,0,0,2,4,1,2,3,5,,,0
INT-World Cup,2022,Costa Rica,Bryan Ruiz,Costa Rica,"FW,MF",36,1985,0.3,0,0,0,0,1,0,0,0,1,,,0
INT-World Cup,2022,Costa Rica,Carlos Martínez,Costa Rica,DF,23,1999,0.5,0,0,0,1,0,0,0,1,1,,,0
INT-World Cup,2022,Costa Rica,Celso Borges,Costa Rica,MF,34,1988,2.8,1,0,0,2,0,0,2,5,1,,,0
INT-World Cup,2022,Costa Rica,Daniel Chacón,Costa Rica,DF,21,2001,0.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Costa Rica,Francisco Calvo,Costa Rica,DF,29,1992,2.0,2,0,0,6,0,1,0,2,4,,,0
INT-World Cup,2022,Costa Rica,Gerson Torres,Costa Rica,MF,24,1997,0.7,0,0,0,1,8,0,0,0,0,,,0
INT-World Cup,2022,Costa Rica,Jewison Bennette,Costa Rica,MF,17,2004,1.1,0,0,0,0,2,2,2,0,0,,,0
INT-World Cup,2022,Costa Rica,Joel Campbell,Costa Rica,"MF,FW",29,1992,3.0,1,0,0,3,11,3,7,0,5,,,0
INT-World Cup,2022,Costa Rica,Johan Venegas,Costa Rica,FW,33,1988,0.8,0,0,0,1,1,2,1,0,0,,,0
INT-World Cup,2022,Costa Rica,Juan Pablo Vargas,Costa Rica,DF,27,1995,1.0,0,0,0,0,0,0,0,1,3,,,0
INT-World Cup,2022,Costa Rica,Kendall Waston,Costa Rica,DF,34,1988,2.5,0,0,0,1,0,0,0,5,4,,,0
INT-World Cup,2022,Costa Rica,Keylor Navas,Costa Rica,GK,35,1986,3.0,0,0,0,0,0,0,0,1,0,,,0
INT-World Cup,2022,Costa Rica,Keysher Fuller,Costa Rica,"DF,MF",27,1994,2.8,0,0,0,2,4,2,2,2,4,,,0
INT-World Cup,2022,Costa Rica,Roan Wilson,Costa Rica,FW,20,2002,0.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Costa Rica,Rónald Matarrita,Costa Rica,"DF,MF",27,1994,0.3,0,0,0,1,1,0,3,0,0,,,0
INT-World Cup,2022,Costa Rica,Yeltsin Tejeda,Costa Rica,MF,30,1992,3.0,0,0,0,0,2,0,0,1,2,,,0
INT-World Cup,2022,Costa Rica,Youstin Salas,Costa Rica,DF,25,1996,0.5,0,0,0,0,0,0,0,0,1,,,0
INT-World Cup,2022,Costa Rica,Álvaro Zamora,Costa Rica,FW,20,2002,0.3,0,0,0,0,0,1,0,1,0,,,0
