league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off
INT-World Cup,2018,Costa Rica,Marco Ureña,Costa Rica,FW,28,1990,2,118,59,43.7,1.3,2,59,0,0,,1,0.0,0,1,-1,-0.76,0.42
INT-World Cup,2018,Costa Rica,Patrick Pemberton,Costa Rica,GK,36,1982,0,,,,,0,,0,0,,3,,,,,,
INT-World Cup,2018,Costa Rica,Randall Azofeifa,Costa Rica,MF,33,1984,1,1,1,0.4,0.0,0,,0,1,0,2,1.0,1,0,1,90.0,91.34
INT-World Cup,2018,Costa Rica,Rodney Wallace,Costa Rica,"DF,MF",29,1988,1,10,10,3.7,0.1,0,,0,1,9,2,1.0,1,1,0,0.0,1.04
INT-World Cup,2018,Costa Rica,Yeltsin Tejeda,Costa Rica,MF,26,1992,1,8,8,3.0,0.1,0,,0,1,7,2,0.0,0,2,-2,-22.5,-22.16
INT-World Cup,2018,Costa Rica,Óscar Duarte,Costa Rica,DF,29,1989,2,180,90,66.7,2.0,2,90,2,0,,1,0.0,0,3,-3,-1.5,-1.5
INT-World Cup,2018,Croatia,Andrej Kramarić,Croatia,"MF,FW",26,1991,7,334,48,46.4,3.7,3,80,1,4,24,0,2.57,7,2,5,1.35,1.35
INT-World Cup,2018,Croatia,Ante Rebić,Croatia,MF,24,1993,6,543,91,75.4,6.0,6,91,2,0,,1,2.5,9,8,1,0.17,-1.87
INT-World Cup,2018,Croatia,Danijel Subašić,Croatia,GK,33,1984,6,630,105,87.5,7.0,6,105,6,0,,1,2.5,12,8,4,0.57,-0.43
INT-World Cup,2018,Croatia,Dejan Lovren,Croatia,DF,28,1989,7,651,93,90.4,7.2,6,105,6,1,20,0,2.57,13,9,4,0.55,-0.75
INT-World Cup,2018,Croatia,Domagoj Vida,Croatia,DF,29,1989,6,630,105,87.5,7.0,6,105,6,0,,1,2.5,12,8,4,0.57,-0.43
INT-World Cup,2018,Croatia,Dominik Livaković,Croatia,GK,23,1995,0,,,,,0,,0,0,,7,,,,,,
