league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt,playing_time_playing_time_mp,playing_time_playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,misc_90s,misc_performance_crdy,misc_performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2018,Australia,Jamie Maclaren,Australia,FW,24,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Australia,Josh Risdon,Australia,DF,25,1992,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,5.0,-3.0,-1.0,,3.0,1.0,0.0,0.0,4.0,1.0,1.0,11.0,3.0,8.0,0.0,1.0,0.0
INT-World Cup,2018,Australia,Mark Milligan,Australia,DF,32,1985,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,5.0,-3.0,-1.0,,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Massimo Luongo,Australia,MF,25,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Australia,Mathew Leckie,Australia,"FW,MF",27,1991,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,11.1,3.0,0.33,0.0,0.0,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,5.0,-3.0,-1.0,,3.0,1.0,0.0,0.0,6.0,5.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Mathew Ryan,Australia,GK,26,1992,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,5.0,-3.0,-1.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Matthew Jurman,Australia,DF,28,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Australia,Mile Jedinak,Australia,MF,33,1984,3.0,3.0,270.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.67,0.0,0.67,0.0,0.0,3.0,2.0,6.0,3.0,50.0,2.0,1.0,0.0,0.0,2.0,2.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,5.0,-3.0,-1.0,,3.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Miloš Degenek,Australia,"DF,MF",24,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2018,Australia,Robbie Kruse,Australia,"FW,MF",29,1988,3.0,3.0,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,1.0,0.0,0.0,0.43,0.0,0.0,,0.0,0.0,3,207.0,69.0,76.7,2.3,3,69.0,0,0,,0,0.33,2.0,5.0,-3.0,-1.3,-1.3,2.3,0.0,0.0,0.0,2.0,8.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Tim Cahill,Australia,"FW,MF",38,1979,1.0,0.0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.0,0.0,0.0,4.74,0.0,0.0,,0.0,0.0,1,38.0,38.0,14.1,0.4,0,,0,1,37.0,2,0.0,0.0,0.0,0.0,0.0,1.16,0.4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Australia,Tom Rogić,Australia,MF,25,1992,3.0,3.0,223.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,5.0,2.0,40.0,2.02,0.81,0.0,0.0,0.0,0.0,3,223.0,74.0,82.6,2.5,3,74.0,0,0,,0,0.33,2.0,4.0,-2.0,-0.81,1.11,2.5,1.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
